Hauptartikelnr;Artikelname;Hersteller;Beschreibung;Materialangaben;Geschlecht;Produktart;?rmel;Bein;Kragen;Herstellung;Taschenart;Grammatur;Material;Ursprungsland;Bildname
L100;Herren Slim-Fit T-Shirt City 220;SOL's;Gek?mmte Baumwolle, Dehnbare Doppeln?hte an Kragen sowie ?rmel und Bund, Eng anliegendes Rundhals T-Shirt, Ripp-Strick;100% Baumwolle;Herren;T-Shirts;Kurzarm;;Rundhals;Konventionell;;220 g/m?;Baumwolle;BD;l100.jpg
L116;Baby Bib Babib;SOL's;Doppellagig f?r zus?tzlichen Schutz - Schr?gband in Kontrastfarbe - Klettverschluss;100% Baumwolle;;L?tzchen;;;;;;180 g/m?;Baumwolle;CN;l116.jpg
L117;Organic Bambino Bodysuit;SOL's;100% kontrolliert biologisch angebaute Baumwolle gem?? OCS-Standard - Ausschnitt mit ?berlappenden Schultern - Druckknopfverschluss im Schritt - Einfassungen an Ausschnitt, B?ndchen und Bein;100% Baumwolle;Babies;Bodies & Schlafanz?ge;;;;Umweltfreundlich;;220 g/m?;Baumwolle;BD;l117.jpg
L118;Babies Bodysuit Bambino;SOL's;100% gek?mmte, ringgesponnene Baumwolle, Druckkn?pfe an der Unterseite;100% Baumwolle;Babies;Bodies & Schlafanz?ge;;;;;;180 g/m?;;BD;l118.jpg
L120;?rmelloses T-Shirt Jazzy 170;SOL's;Halb gek?mmte Baumwolle, Feine Halsb?ndchen, Figurnaher Schnitt, Satin-Label;100% Baumwolle;Herren;T-Shirts;?rmellos;;Rundhals;Konventionell;;170 g/m?;Baumwolle;BD;l120.jpg
L131;Mens T-Shirt Mixed;SOL's;65% Polyester/ 35% ringgesponnene, halbgek?mmte Baumwolle - Kurzarm - Aus Einzelteilen gen?ht - Geeignet f?r Sublimationsdruck;65% Polyester / 35% Baumwolle;Herren;T-Shirts;Kurzarm;;;;;150 g/m?;Polyestergemisch;CN;l131.jpg
L132;Womens T-Shirt Mixed;SOL's;65% Polyester/ 35% ringgesponnene, halbgek?mmte Baumwolle - Kurzarm - Aus Einzelteilen gen?ht - Geeignet f?r Sublimationsdruck;65% Polyester / 35% Baumwolle;Damen;T-Shirts;Kurzarm;;;;;150 g/m?;Polyestergemisch;CN;l132.jpg
L133;Mens Camo T-Shirt;SOL's;Ringgesponnene, halbgek?mmte Baumwolle - Kurzarm - Aus Einzelteilen gen?ht;100% Baumwolle;Herren;T-Shirts;Kurzarm;;Rundhals;;;150 g/m?;Baumwolle;BD;l133.jpg
L134;Womens Camo T-Shirt;SOL's;Ringgesponnene, halbgek?mmte Baumwolle - Kurzarm - Aus Einzelteilen gen?ht;100% Baumwolle;Damen;T-Shirts;Kurzarm;;;;;150 g/m?;Baumwolle;BD;l134.jpg
L140;Raglan T-Shirt Funky 150;SOL's;Halb gek?mmte Baumwolle, Abgesetzte kurze Raglan?rmel, Doppelt geripptes Kragenb?ndchen;100% Baumwolle;Herren;T-Shirts;Kurzarm;;Rundhals;Konventionell;;150 g/m?;Baumwolle;BD;l140.jpg
L142;Mens T-Shirt Match;SOL's;White' Sublimationsdruck geeignet, Atmungsaktiv, Feinrippeinfassung am Hals, Kontrastierender Raglan?rmelansatz, Interlock Jersey;100% Polyester;Herren;T-Shirts;Kurzarm;;Rundhals;Konventionell;;140 g/m?;Polyester;CN;l142.jpg
L145;Women?s V-Neck T-Shirt Mild;SOL's;Halb gek?mmte Baumwolle, Lang geschnitten, Cap-Sleeve-?rmel, Offene ?raw-cut? Abschl?sse;100% Baumwolle;Damen;T-Shirts;Kurzarm;;V-Ausschnitt;Konventionell;;150 g/m?;Baumwolle;BD;l145.jpg
L147;Marais Men Slub Longsleeve;SOL's;Halb gek?mmte Baumwolle, Geschlitzter V-Ausschnitt, Raw-edge N?hte, Slub Jersey;100% Baumwolle;Herren;T-Shirts;Langarm;;V-Ausschnitt;Konventionell;;150 g/m?;Baumwolle;BD;l147.jpg
L149;Regent Fit T-Shirt;SOL's;100% halbgek?mmte, ringgesponnene Baumwolle - Verst?rktes Nackenband - Rundhalskragen aus Elasthan-Ripp - Kurze ?rmel - Taillierter Schnitt - Gr??enlabel im Nacken;100% Baumwolle (Grey Melange: 85% Baumwolle / 15% Viskose);Herren;T-Shirts;Kurzarm;;Rundhals;;;150 g/m?;Baumwolle;BD;l149.jpg
L149K;Kids Round Collar T-Shirt Regent Fit;SOL's;Nackenband - Ripp-Strick-Ausschnitt mit Elasthan - Kurzarm - Aus Einzelteilen gen?ht;100% Baumwolle (Grey Melange: 85% Baumwolle / 15% Viskose);Kinder;T-Shirts;Kurzarm;;;;;150 g/m?;Baumwolle;BD;l149k.jpg
L150;Regent T-Shirt 150;SOL?S;Verst?rkendes Nackenband, Vorgewaschene. halbgek?mmte Baumwolle, Doppelt geripptes Kragenb?ndchen (2 cm) mit Elasthan, Schlauchware, Doppelnaht an Kragen. ?rmeln und Bund;100% Baumwolle (Grey Melange: 85% Baumwolle / 15% Polyester- Ash: 98% Baumwolle / 2% Viskose);Herren;T-Shirts;Kurzarm;;Rundhals;Konventionell;;150 g/m?;Baumwolle;BD;l150.jpg
L150K;Kids Regent 150;SOL's;Gr??en 86-94 und 96-104 mit Seitenn?hten, Sonstige Gr??en Schlauchware, Vorgewaschene Baumwolle, Doppelt geripptes Kragenb?ndchen (2 cm) mit Elasthan, Doppelnaht an Kragen sowie ?rmeln und Bund, Verst?rkendes Nackenband, Halb gek?mmte Baumwolle;100% Baumwolle (Ash: 85% Baumwolle / 15% Viskose);Kinder;T-Shirts;Kurzarm;;Rundhals;Konventionell;;150 g/m?;Baumwolle;BD;l150k.jpg
L151;V-Neck T-Shirt Victory;SOL?S;Schlauchware, Vorgewaschene Baumwolle, Verst?rkendes Nackenband, Ripp-Strick-Kragen, Doppelnaht an Kragen. ?rmeln und Bund, Halbgek?mmte Baumwolle;100% Baumwolle (Grey Melange: 85% Baumwolle / 15% Polyester, Ash: 98% Baumwolle / 2% Viskose);Herren;T-Shirts;Kurzarm;;V-Ausschnitt;Konventionell;;150 g/m?;Baumwolle;BD;l151.jpg
L154;Short Sleeve Tee Shirt Master;SOL's;Halb gek?mmte Baumwolle, Tiefer V-Ausschnitt, Verst?rktes Nackenband;100% Baumwolle (Grey Melange: 85% Baumwolle / 15% Viskose);Herren;T-Shirts;Kurzarm;;V-Ausschnitt;Konventionell;;150 g/m?;Baumwolle;BD;l154.jpg
L155;Baby T-Shirt Mosquito;SOL's;Gek?mmte Baumwolle, Schulter?ffnung mit farblich abgestimmten Druckkn?pfen, Seitenn?hte, Verst?rkendes Nackenband, Elasthan Ripp-Strick am Kragen, Elastische farblich abgestimmte Doppelnaht an Kragen sowie ?rmeln und Bund;100% Baumwolle;Babies;T-Shirts;Kurzarm;;Rundhals;Konventionell;;160 g/m?;Baumwolle;BD;l155.jpg
L156;Ladies V-Neck-T-Shirt Moon;SOL?S;Halbgek?mmte Baumwolle, Kurz?rmliges. enganliegendes T-Shirts, Feminin geschnitten, Verst?rkendes Nackenband, Webetikett, Weicher Griff;100% Baumwolle;Damen;T-Shirts;Kurzarm;;V-Ausschnitt;Konventionell;;150 g/m?;Baumwolle;BD;l156.jpg
L157;Mens Mad V-Neck T-Shirt;SOL's;Ringgesponnene, halbgek?mmte Baumwolle - Kurzarm - Aus Einzelteilen gen?ht - Brusttasche;100% Baumwolle;Herren;T-Shirts;Kurzarm;;;;;150 g/m?;Baumwolle;BD;l157.jpg
L158;Womens Mod V-Neck T-Shirt;SOL's;Ringgesponnene, halbgek?mmte Baumwolle - Kurzarm - Aus Einzelteilen gen?ht - Brusttasche - Zopfmuster am Kragen und ?rmelabschluss;100% Baumwolle;Damen;T-Shirts;Kurzarm;;;;;150 g/m?;Baumwolle;BD;l158.jpg
L159;Women T-Shirt Moody;SOL's;Figurbetonter Schnitt, Rundhals, Seitenn?hte;100% Baumwolle;Damen;T-Shirts;Kurzarm;;Boat-Neck;Konventionell;;160 g/m?;Baumwolle;BD;l159.jpg
L161;Women T-Shirt Marylin;SOL's;Doppeln?hte an ?rmeln und Saum, Kimono-?rmel, Sheer-Jersey, Verst?rktes Nackenband, Weiter Halsausschnitt;100% Baumwolle;Damen;T-Shirts;Kurzarm;;Boat-Neck;Konventionell;;110 g/m?;Baumwolle;BD;l161.jpg
L162;Women?s T-Shirt Must;SOL's;Gek?mmte, ringgesponnene Baumwolle, Femininer, stylischer Schnitt, 1x1 Ripp-Strick-Halsausschnitt, Cut and Sew-Ware, Eng anliegend geschnitten, Doppeln?hte an ?rmelb?ndchen und Saum, Gr??enlabel am hinteren Halsausschnitt f?r einfaches Sortieren, Gr??enlabel ohne Branding, Weich im Griff und modisch schick;100% Baumwolle;Damen;T-Shirts;Kurzarm;;Boat-Neck;Konventionell;;110 g/m?;Baumwolle;BD;l162.jpg
L163;Men?s T-Shirt Must;SOL's;Gek?mmte, ringgesponnene Baumwolle, Shirt im modischen Style, Rundhalsausschnitt aus 1x1 Rippstrick, Cut and sew-Ware, Eng anliegender Schnitt, Doppeln?hte an ?rmelb?ndchen und Saum, Gr??enlabel am hinteren Halsausschnitt f?r einfaches Sortieren, Gr??enlabel ohne Branding;100% Baumwolle;Herren;T-Shirts;Kurzarm;;Boat-Neck;Konventionell;;110 g/m?;Baumwolle;BD;l163.jpg
L165;Sublima T-Shirt;SOL's;Strickkragen, Dichtes Gewebe, Weiches Griffgef?hl;100% Polyester;Herren;T-Shirts;Kurzarm;;Rundhals;Konventionell;;160 g/m?;Polyester;BD;l165.jpg
L170;Mustang Contrasted T-Shirt;SOL's;100% halb gek?mmte, ringgesponnene Baumwolle, Kontrastfarbenes Nackenband und Kontrastn?hte am R?cken, Kragen aus Elasthan-Ripp, Kurze ?rmel, ?rmelb?ndchen, -ausschnitte und Saum mit kontrastfarbenen Flatlockn?hten, Taillierter Schnitt, Gr??enlabel im Nacken;100% Baumwolle (Grey Melange: 85% Baumwolle / 15% Viskose);Herren;T-Shirts;Kurzarm;;Rundhals;;;150 g/m?;Baumwolle;BD;l170.jpg
L171;Men?s Tank Top Justin;SOL?S;Halbgek?mmte Baumwolle, Rundgestrickt, Breite Tr?ger;100% Baumwolle;Herren;T-Shirts;?rmellos;;Rundhals;Konventionell;;150 g/m?;Baumwolle;BD;l171.jpg
L172;Women?s Tank Top Jane;SOL's;"halbgek?mmte Baumwolle, taillierter; langer Schnitt, tiefer Rundhals-Ausschnitt / Boat Neck, fein gerippte B?ndchen, Seitenn?hte, Mediumweight / mittelschwerer Stoff
";100% Baumwolle;Damen;T-Shirts;?rmellos;;Boat-Neck;Konventionell;;150 g/m?;Baumwolle;BD;l172.jpg
L173;Unisex Tank Top Jamaica;SOL's;Tiefe Armausschnitte - Aus Einzelteilen gen?ht - Geeignet f?r Sublimationsdruck;100% Polyester;Damen;T-Shirts;?rmellos;;;;;120 g/m?;Polyester;CN;l173.jpg
L174;Men Contrast-T Madison 170;SOL's;Halb gek?mmte Baumwolle, Verst?rkendes Nackenband, Kontrastiertes und doppelt geripptes B?ndchen mit Elasthan am Kragen und ?rmel, Offener gerollter gerader Saumabschluss;100% Baumwolle;Herren;T-Shirts;Kurzarm;;Rundhals;Konventionell;;170 g/m?;Baumwolle;BD;l174.jpg
L179;Ladies T-Shirt Moorea;SOL's;Halb gek?mmte Baumwolle, Tailliertes Jersey-Damen T-Shirt, Cap-Sleeve ?rmel, Raw-Cut Abschl?sse mit Rollabschluss;100% Baumwolle;Damen;T-Shirts;Kurzarm;;Rundhals;Konventionell;;170 g/m?;Baumwolle;BD;l179.jpg
L187;Organic Cotton Men T-Shirt;SOL's;Bio-Baumwolle, CONTROL UNION Zertifizierung, Seitenn?hte, Nackenband, Feinrippkragen;100% Baumwolle;Herren;T-Shirts;Kurzarm;;Rundhals;Umweltfreundlich;;160 g/m?;Bio-Baumwolle;TR;l187.jpg
L187K;Kids Organic T-Shirt;SOL's;Bio-Baumwolle, CONTROL UNION Zertifizierung, Rundgestrickt, Seitenn?hte (4-6 Jahre), Schlauchware (8-12 Jahre), Verst?rktes Nackenband;100% Baumwolle;Kinder;T-Shirts;Kurzarm;;Rundhals;Umweltfreundlich;;160 g/m?;Bio-Baumwolle;BD;l187k.jpg
L188;Organic Cotton Women T-Shirt;SOL's;CONTROL UNION Zertifizierung, Seitenn?hte, Nackenband, Taillierter Schnitt, Gek?mmte Bio-Baumwolle;100% Baumwolle;Damen;T-Shirts;Kurzarm;;Rundhals;Umweltfreundlich;;160 g/m?;Bio-Baumwolle;TR;l188.jpg
L189;Imperial Fit T-Shirts;SOL?S;100% halbgek?mmte. ringgesponnene Baumwolle, Verst?rktes Nackenband, Rundhalsausschnitt aus Elasthan-Ripp, Taillierter Schnitt, Gr??enlabel im Nacken;100% Baumwolle;Herren;T-Shirts;Kurzarm;;Rundhals;;;190 g/m?;Baumwolle;BD;l189.jpg
L190;Imperial T-Shirt;SOL?S;Unisex-Rundhals T-Shirts, Doppeln?hte an ?rmeln und Bund, Ripp-Kragen mit Elasthan-Anteil, Verst?rktes Nackenband, Schlauchware;100% Baumwolle (Grey Melange: 85% Baumwolle / 15% Polyester- Ash: 98% Baumwolle / 2% Viskose);Herren;T-Shirts;Kurzarm;;Rundhals;Konventionell;;190 g/m?;Baumwolle;BD;l190.jpg
L190K;Kids Imperial T-Shirt;SOL's;Verst?rktes Nackenband, Ripp-Kragen mit Elasthan-Anteil, Doppeln?hte an ?rmeln und Bund, Gr??en 86-94 und 96-104 mit Seitenn?hten;100% Baumwolle;Kinder;T-Shirts;Kurzarm;;Rundhals;Konventionell;;190 g/m?;Baumwolle;BD;l190k.jpg
L191;Imperial Women T-Shirt;SOL?S;Halbgek?mmte Baumwolle, Ripp-Kragen mit Elasthan-Anteil, Verst?rktes Nackenband, Taillierter Schnitt, Feiner Halsausschnitt, Seitenn?hte;100% Baumwolle;Damen;T-Shirts;Kurzarm;;Rundhals;Konventionell;;190 g/m?;Baumwolle;BD;l191.jpg
L194;Women?s T-Shirt Miami;SOL's;Weiche, halb gek?mmte Baumwolle und sehr femininer Schnitt, Seitenn?hte, Elasthan-Komfort, Nackenband;95% Baumwolle / 5% Elasthan;Damen;T-Shirts;Kurzarm;;Rundhals;Konventionell;;170 g/m?;Baumwollgemisch;BD;l194.jpg
L195;Women?s Raglan Colour-T Milky;SOL?S;Halbgek?mmte, Nackenband, Raglan-?rmel, Kragenbund aus Feinripp, Seitenn?hte;100% Baumwolle;Damen;T-Shirts;Kurzarm;;Rundhals;Konventionell;;150 g/m?;Baumwolle;BD;l195.jpg
L196;Men?s T-Shirt First;SOL's;Halbgek?mmte Baumwolle - Slub Jersey - Slub-Material ist sehr d?nn, leicht durchscheinend und wirkt ausgewaschen - Seitenn?hte - K?rperbetonter Schnitt - Kragen mit Feinripp - Rundhals - Nackenband;100% Baumwolle;Herren;T-Shirts;Kurzarm;;Rundhals;Konventionell;;150 g/m?;Baumwolle;BD;l196.jpg
L198;Mens Raglan Sleeves T Sporty;SOL's;Raglan?rmel, Atmungsaktiv, Doppeln?hte an ?rmeln und Saum, Eingefasster Kragen;100% Polyester;Herren;T-Shirts;Kurzarm;;Rundhals;Konventionell;;140 g/m?;Polyester;CN;l198.jpg
L198K;Kids Raglan Sleeved T-Shirt Sporty;SOL's;Raglan-?rmel - Doppeln?hte an ?rmelenden und Saum - L?ngerer R?cken;100% Polyester;Kinder;T-Shirts;Kurzarm;;;;;140 g/m?;Polyester;CN;l198k.jpg
L199;Men?s Short Sleeve T-Shirt Milano;SOL's;K?rperbetonter Schnitt, Seitenn?hte, Elasthan-Komfort, Nackenband, Weiche, gek?mmte Baumwolle;95% Baumwolle / 5% Elasthan;Herren;T-Shirts;Kurzarm;;Rundhals;Konventionell;;190 g/m?;Baumwollgemisch;BD;l199.jpg
L200;Womens Raglan Sleeves T Sporty;SOL's;Raglan-?rmel - Doppeln?hte an ?rmelb?ndchen und Saum - L?ngerer R?cken;100% Polyester;Damen;T-Shirts;Kurzarm;;;;;140 g/m?;Polyester;CN;l200.jpg
L220;Lady 220 Ladies V-Neck;SOL's;Eng geschnittenes T-Shirt mit V-Ausschnitt, Zweifach geripptes Kragenb?ndchen, 1x1 Feinripp, Dehnbare Doppeln?hte an Kragen sowie ?rmel und Bund, Satin Label, Gek?mmte Baumwolle;100% Baumwolle;Damen;T-Shirts;Kurzarm;;V-Ausschnitt;Konventionell;;220 g/m?;Baumwolle;BD;l220.jpg
L221;Ladies T-Shirt Lady 220;SOL's;Figurbetonter Schnitt, Seitenn?hte, 1x1 Ripp, Feinripp-Einfassung, Gek?mmte Baumwolle;100% Baumwolle;Damen;T-Shirts;Kurzarm;;Rundhals;Konventionell;;220 g/m?;Baumwolle;BD;l221.jpg
L222;Women Saint Germain Slub Tank Top;SOL's;Halb gek?mmte Baumwolle, Tailliert, Racerback, Seitenn?hte, Slub-Material;100% Baumwolle;Damen;T-Shirts;?rmellos;;Boat-Neck;Konventionell;;150 g/m?;Baumwolle;BD;l222.jpg
L223;Women T-Back Tank Top Moka;SOL's;100% gek?mmte, ringgesponnene Baumwolle, T-Back Top, Abgerundeter Saum, L?ssig geschnitten, Gr??enlabel im Nacken, Jersey, modisch und sehr weich;100% Baumwolle;Damen;T-Shirts;?rmellos;;Boat-Neck;;;110 g/m?;Baumwolle;BD;l223.jpg
L225;Ladies T-Shirt Miss;SOL's;"halb gek?mmte Baumwolle, leicht angeschnittene Set-in-?rmel (Naht an der Schulter), dezent taillierter; kurzer Schnitt, klassischer Rundhals-Ausschnitt, Mediumweight / mittelschwerer Stoff
";100% Baumwolle (Grey Melange: 85% Baumwolle / 15% Polyester );Damen;T-Shirts;Kurzarm;;Rundhals;Konventionell;;150 g/m?;Baumwolle;BD;l225.jpg
L225K;Kids T-Shirt Girlie Cherry;SOL's;Sehr weicher Griff, Tailliertes Kinder T-Shirt, Schmaler Kragen, Halbgek?mmte Baumwolle;100% Baumwolle;Kinder;T-Shirts;Kurzarm;;Rundhals;Konventionell;;150 g/m?;Baumwolle;BD;l225k.jpg
L226;Girls T-Shirt Melody;SOL's;Aus Einzelteilen gen?ht - Raffung an Kurz?rmeln und Halsauschnitt - Einfassung am Ausschnitt;100% Baumwolle;Kinder;T-Shirts;Kurzarm;;;;;150 g/m?;Baumwolle;BD;l226.jpg
L227;Mens Mojito Shirt;SOL's;Ripp-Saumband, Figurbetonter angesagter Schnitt, Seitenn?hte, Gek?mmte Baumwolle;100% Baumwolle;Herren;T-Shirts;?rmellos;;Rundhals;Konventionell;;220 g/m?;Baumwolle;BD;l227.jpg
L229;Womens Straps Tank Top Joy;SOL's;Elastische Spaghettitr?ger - Aus Einzelteilen gen?ht;95% Baumwolle / 5% Elasthan;Damen;T-Shirts;?rmellos;;;;;160 g/m?;Baumwollgemisch;BD;l229.jpg
